,precision,recall,f1-score,support
0,0.8317307692307693,0.865,0.8480392156862744,200.0
1,0.8292682926829268,0.68,0.7472527472527474,200.0
2,0.8941798941798942,0.845,0.8688946015424165,200.0
3,0.7510548523206751,0.89,0.8146453089244852,200.0
4,0.809322033898305,0.955,0.8761467889908257,200.0
5,0.926829268292683,0.76,0.8351648351648352,200.0
6,0.7970297029702971,0.805,0.800995024875622,200.0
accuracy,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8285714285714286
macro avg,0.8342021162250787,0.8285714285714284,0.827305503205315,1400.0
weighted avg,0.8342021162250787,0.8285714285714286,0.8273055032053153,1400.0
