,precision,recall,f1-score,support
0,0.7361702127659574,0.865,0.7954022988505746,200.0
1,0.7647058823529411,0.585,0.6628895184135977,200.0
2,0.8106796116504854,0.835,0.8226600985221675,200.0
3,0.7524752475247525,0.76,0.7562189054726369,200.0
4,0.8260869565217391,0.95,0.8837209302325583,200.0
5,0.8411764705882353,0.715,0.772972972972973,200.0
6,0.7598039215686274,0.775,0.7673267326732675,200.0
accuracy,0.7835714285714286,0.7835714285714286,0.7835714285714286,0.7835714285714286
macro avg,0.7844426147103911,0.7835714285714286,0.7801702081625395,1400.0
weighted avg,0.7844426147103911,0.7835714285714286,0.7801702081625395,1400.0
