,precision,recall,f1-score,support
0,0.9095238095238095,0.955,0.9317073170731708,200.0
1,0.8854166666666666,0.85,0.8673469387755102,200.0
2,0.949238578680203,0.935,0.942065491183879,200.0
3,0.9230769230769231,0.9,0.9113924050632911,200.0
4,0.9375,0.975,0.9558823529411764,200.0
5,0.9222797927461139,0.89,0.905852417302799,200.0
6,0.8878048780487805,0.91,0.8987654320987655,200.0
accuracy,0.9164285714285715,0.9164285714285715,0.9164285714285715,0.9164285714285715
macro avg,0.9164058069632137,0.9164285714285715,0.9161446220626559,1400.0
weighted avg,0.9164058069632137,0.9164285714285715,0.9161446220626559,1400.0
