,precision,recall,f1-score,support
0,0.8564814814814815,0.925,0.889423076923077,200.0
1,0.84375,0.81,0.826530612244898,200.0
2,0.885,0.885,0.885,200.0
3,0.8781725888324873,0.865,0.871536523929471,200.0
4,0.9178743961352657,0.95,0.9336609336609336,200.0
5,0.9206349206349206,0.87,0.8946015424164524,200.0
6,0.8190954773869347,0.815,0.8170426065162906,200.0
accuracy,0.8742857142857143,0.8742857142857143,0.8742857142857143,0.8742857142857143
macro avg,0.8744298377815843,0.8742857142857144,0.8739707565273032,1400.0
weighted avg,0.8744298377815843,0.8742857142857143,0.8739707565273032,1400.0
