,precision,recall,f1-score,support
0,0.9365853658536586,0.96,0.9481481481481482,200.0
1,0.9293478260869565,0.855,0.890625,200.0
2,0.9540816326530612,0.935,0.9444444444444445,200.0
3,0.9029126213592233,0.93,0.916256157635468,200.0
4,0.9241706161137441,0.975,0.948905109489051,200.0
5,0.9476439790575916,0.905,0.9258312020460359,200.0
6,0.8985507246376812,0.93,0.9140049140049139,200.0
accuracy,0.9271428571428572,0.9271428571428572,0.9271428571428572,0.9271428571428572
macro avg,0.9276132522517023,0.9271428571428572,0.9268878536811516,1400.0
weighted avg,0.9276132522517025,0.9271428571428572,0.9268878536811518,1400.0
