,precision,recall,f1-score,support
0,0.9251336898395722,0.865,0.8940568475452197,200.0
1,0.8191489361702128,0.77,0.7938144329896908,200.0
2,0.8656716417910447,0.87,0.8678304239401496,200.0
3,0.7971698113207547,0.845,0.8203883495145631,200.0
4,0.912621359223301,0.94,0.9261083743842364,200.0
5,0.8814432989690721,0.855,0.8680203045685279,200.0
6,0.7688679245283019,0.815,0.79126213592233,200.0
accuracy,0.8514285714285714,0.8514285714285714,0.8514285714285714,0.8514285714285714
macro avg,0.8528652374060371,0.8514285714285713,0.8516401241235311,1400.0
weighted avg,0.852865237406037,0.8514285714285714,0.851640124123531,1400.0
