,precision,recall,f1-score,support
0,0.6666666666666666,0.9230769230769231,0.7741935483870968,26.0
1,0.75,0.3333333333333333,0.46153846153846156,9.0
2,0.5,0.42857142857142855,0.4615384615384615,14.0
3,0.75,0.6428571428571429,0.6923076923076924,14.0
4,0.5625,0.5625,0.5625,16.0
5,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
8,0.6,0.5625,0.5806451612903225,16.0
accuracy,0.6635514018691588,0.6635514018691588,0.6635514018691588,0.6635514018691588
macro avg,0.6779761904761904,0.6242150706436421,0.6356271416755287,107.0
weighted avg,0.6652647975077881,0.6635514018691588,0.6516546462280559,107.0
