,precision,recall,f1-score,support
0,0.5217391304347826,0.9230769230769231,0.6666666666666667,26.0
1,0.0,0.0,0.0,9.0
2,0.46153846153846156,0.42857142857142855,0.4444444444444445,14.0
3,0.42857142857142855,0.21428571428571427,0.2857142857142857,14.0
4,0.7058823529411765,0.75,0.7272727272727272,16.0
5,1.0,0.8333333333333334,0.9090909090909091,12.0
8,0.7857142857142857,0.6875,0.7333333333333334,16.0
accuracy,0.616822429906542,0.616822429906542,0.616822429906542,0.616822429906542
macro avg,0.5576350941714479,0.5481096284667714,0.5380746237889095,107.0
weighted avg,0.5784327296386,0.616822429906542,0.5778910601340508,107.0
