,precision,recall,f1-score,support
0,0.92,0.8846153846153846,0.9019607843137256,26.0
1,1.0,0.8888888888888888,0.9411764705882353,9.0
2,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
3,0.6,0.8571428571428571,0.7058823529411764,14.0
4,0.8666666666666667,0.8125,0.8387096774193549,16.0
5,0.9230769230769231,1.0,0.9600000000000001,12.0
8,0.8571428571428571,0.75,0.7999999999999999,16.0
accuracy,0.8504672897196262,0.8504672897196262,0.8504672897196262,0.8504672897196262
macro avg,0.8690790162218732,0.8541230594802024,0.8562690187737626,107.0
weighted avg,0.8673944746841943,0.8504672897196262,0.854106824798981,107.0
