,precision,recall,f1-score,support
0,0.7666666666666667,0.8846153846153846,0.8214285714285715,26.0
1,1.0,0.6666666666666666,0.8,9.0
2,0.8,0.5714285714285714,0.6666666666666666,14.0
3,0.6875,0.7857142857142857,0.7333333333333334,14.0
4,0.8461538461538461,0.6875,0.7586206896551724,16.0
5,0.8571428571428571,1.0,0.923076923076923,12.0
8,0.6666666666666666,0.75,0.7058823529411765,16.0
accuracy,0.7757009345794392,0.7757009345794392,0.7757009345794392,0.7757009345794392
macro avg,0.8034471480900052,0.7637035583464155,0.7727155053002634,107.0
weighted avg,0.7873754749922974,0.7757009345794392,0.7725805104262385,107.0
