,precision,recall,f1-score,support
0,0.8846153846153846,0.8846153846153846,0.8846153846153846,26.0
1,1.0,0.8888888888888888,0.9411764705882353,9.0
2,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
3,0.5789473684210527,0.7857142857142857,0.6666666666666667,14.0
4,0.8666666666666667,0.8125,0.8387096774193549,16.0
5,0.9230769230769231,1.0,0.9600000000000001,12.0
6,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,16.0
accuracy,0.7289719626168224,0.7289719626168224,0.7289719626168224,0.7289719626168224
macro avg,0.6462466261808367,0.6446791056166056,0.6421652556804359,107.0
weighted avg,0.7278708993908206,0.7289719626168224,0.7251348621821586,107.0
