,precision,recall,f1-score,support
0,0.7586206896551724,0.8461538461538461,0.8,26.0
1,1.0,0.5555555555555556,0.7142857142857143,9.0
2,0.7777777777777778,0.5,0.6086956521739131,14.0
3,0.5882352941176471,0.7142857142857143,0.6451612903225806,14.0
4,0.7857142857142857,0.6875,0.7333333333333334,16.0
5,0.8571428571428571,1.0,0.923076923076923,12.0
6,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,16.0
accuracy,0.6261682242990654,0.6261682242990654,0.6261682242990654,0.6261682242990654
macro avg,0.5959363630509675,0.5379368894993894,0.553069114149058,107.0
weighted avg,0.6607987270533953,0.6261682242990654,0.6317086451755024,107.0
