,precision,recall,f1-score,support
0,0.9333333333333333,0.875,0.9032258064516129,16.0
1,0.75,0.7058823529411765,0.7272727272727272,17.0
2,0.6,0.5294117647058824,0.5625,17.0
3,0.875,0.8235294117647058,0.8484848484848485,17.0
4,1.0,0.9411764705882353,0.9696969696969697,17.0
5,0.6818181818181818,0.8823529411764706,0.7692307692307693,17.0
6,0.5555555555555556,0.5882352941176471,0.5714285714285715,17.0
accuracy,0.7627118644067796,0.7627118644067796,0.7627118644067796,0.7627118644067796
macro avg,0.7708152958152957,0.763655462184874,0.764548527509357,118.0
weighted avg,0.7694380243109056,0.7627118644067796,0.7633732963318802,118.0
