,precision,recall,f1-score,support
0,1.0,0.75,0.8571428571428571,16.0
1,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0
2,0.65,0.7647058823529411,0.7027027027027027,17.0
3,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0
4,0.7894736842105263,0.8823529411764706,0.8333333333333333,17.0
5,0.7647058823529411,0.7647058823529411,0.7647058823529412,17.0
6,0.6875,0.6470588235294118,0.6666666666666667,17.0
accuracy,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068
macro avg,0.7576348960636886,0.7457983193277312,0.7480451640115506,118.0
weighted avg,0.7555809545049063,0.7457627118644068,0.7471206072900988,118.0
