,precision,recall,f1-score,support
0,0.8125,0.8125,0.8125,16.0
1,0.5625,0.5294117647058824,0.5454545454545455,17.0
2,0.65,0.7647058823529411,0.7027027027027027,17.0
3,0.6363636363636364,0.4117647058823529,0.5,17.0
4,0.625,0.8823529411764706,0.7317073170731708,17.0
5,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
6,0.5882352941176471,0.5882352941176471,0.5882352941176471,17.0
accuracy,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.6779661016949152
macro avg,0.6861671941503874,0.6790966386554621,0.6741870766810601,118.0
weighted avg,0.6850965771516618,0.6779661016949152,0.6730149332631029,118.0
