,precision,recall,f1-score,support
0,1.0,0.875,0.9333333333333333,16.0
1,0.8421052631578947,0.9411764705882353,0.8888888888888888,17.0
2,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0
3,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
4,0.8947368421052632,1.0,0.9444444444444444,17.0
5,0.9333333333333333,0.8235294117647058,0.8749999999999999,17.0
6,0.75,0.7058823529411765,0.7272727272727272,17.0
accuracy,0.8728813559322034,0.8728813559322034,0.8728813559322034,0.8728813559322034
macro avg,0.8765516733008993,0.8728991596638654,0.8726335988941031,118.0
weighted avg,0.8755055010407375,0.8728813559322034,0.872119194364957,118.0
