,precision,recall,f1-score,support
0,0.875,0.875,0.875,16.0
1,0.5555555555555556,0.5882352941176471,0.5714285714285715,17.0
2,0.7647058823529411,0.7647058823529411,0.7647058823529412,17.0
3,0.75,0.7058823529411765,0.7272727272727272,17.0
4,0.6666666666666666,0.8235294117647058,0.7368421052631577,17.0
5,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
6,0.5625,0.5294117647058824,0.5454545454545455,17.0
accuracy,0.7203389830508474,0.7203389830508474,0.7203389830508474,0.7203389830508474
macro avg,0.7289999333066559,0.7216386554621849,0.7227733584558997,118.0
weighted avg,0.7277626446058649,0.7203389830508474,0.7214833021716277,118.0
