,precision,recall,f1-score,support
0,1.0,0.875,0.9333333333333333,16.0
1,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
2,0.8,0.9411764705882353,0.8648648648648648,17.0
3,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0
4,0.9444444444444444,1.0,0.9714285714285714,17.0
5,1.0,0.8823529411764706,0.9375,17.0
6,0.8125,0.7647058823529411,0.787878787878788,17.0
accuracy,0.8898305084745762,0.8898305084745762,0.8898305084745762,0.8898305084745762
macro avg,0.8960901027077498,0.8897058823529411,0.8906430508321265,118.0
weighted avg,0.8952095103578155,0.8898305084745762,0.8902812687770313,118.0
