,precision,recall,f1-score,support
0,0.9230769230769231,0.75,0.8275862068965517,16.0
1,0.75,0.7058823529411765,0.7272727272727272,17.0
2,0.7777777777777778,0.8235294117647058,0.7999999999999999,17.0
3,0.7777777777777778,0.8235294117647058,0.7999999999999999,17.0
4,0.8095238095238095,1.0,0.8947368421052632,17.0
5,1.0,0.8235294117647058,0.9032258064516129,17.0
6,0.7222222222222222,0.7647058823529411,0.7428571428571428,17.0
accuracy,0.8135593220338984,0.8135593220338984,0.8135593220338984,0.8135593220338984
macro avg,0.8229112157683586,0.8130252100840335,0.8136683893690425,118.0
weighted avg,0.8220623538420148,0.8135593220338984,0.8135504417628772,118.0
