,precision,recall,f1-score,support
0,0.7647058823529411,0.8125,0.787878787878788,16.0
1,0.6,0.5294117647058824,0.5625,17.0
2,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0
3,0.75,0.7058823529411765,0.7272727272727272,17.0
4,0.6666666666666666,0.8235294117647058,0.7368421052631577,17.0
5,1.0,0.8823529411764706,0.9375,17.0
6,0.6,0.5294117647058824,0.5625,17.0
accuracy,0.7203389830508474,0.7203389830508474,0.7203389830508474,0.7203389830508474
macro avg,0.7236547250479138,0.7211134453781511,0.7195308346624136,118.0
weighted avg,0.723306833884312,0.7203389830508474,0.7189516147199019,118.0
