,precision,recall,f1-score,support
0,0.7844827586206896,0.8584905660377359,0.8198198198198198,212.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,7.0
3,0.051181102362204724,0.325,0.08843537414965985,40.0
4,0.08333333333333333,0.02912621359223301,0.043165467625899276,206.0
5,0.16666666666666666,0.044444444444444446,0.07017543859649122,90.0
6,0.0,0.0,0.0,45.0
accuracy,0.3416666666666667,0.3416666666666667,0.3416666666666667,0.3416666666666667
macro avg,0.15509483728327061,0.17958017486777336,0.14594230002741002,600.0
weighted avg,0.3342070926479017,0.3416666666666667,0.32091182095401277,600.0
