,precision,recall,f1-score,support
0,0.6521739130434783,0.7894736842105263,0.7142857142857143,38.0
1,0.5121951219512195,0.5526315789473685,0.5316455696202531,38.0
2,0.6470588235294118,0.5789473684210527,0.6111111111111113,38.0
3,0.5666666666666667,0.4358974358974359,0.4927536231884058,39.0
4,0.631578947368421,0.631578947368421,0.631578947368421,19.0
5,0.4666666666666667,0.358974358974359,0.40579710144927544,39.0
6,0.4722222222222222,0.4473684210526316,0.4594594594594595,38.0
7,0.6153846153846154,0.8205128205128205,0.7032967032967034,39.0
accuracy,0.5729166666666666,0.5729166666666666,0.5729166666666666,0.5729166666666666
macro avg,0.5704933721040877,0.5769230769230769,0.5687410287224179,288.0
weighted avg,0.5662454967651409,0.5729166666666666,0.5642330561095467,288.0
