,precision,recall,f1-score,support
0,0.7027027027027027,0.6842105263157895,0.6933333333333334,38.0
1,0.4117647058823529,0.5526315789473685,0.4719101123595506,38.0
2,0.5609756097560976,0.6052631578947368,0.5822784810126583,38.0
3,0.6774193548387096,0.5384615384615384,0.6,39.0
4,0.5714285714285714,0.21052631578947367,0.3076923076923077,19.0
5,0.5,0.41025641025641024,0.4507042253521127,39.0
6,0.46808510638297873,0.5789473684210527,0.5176470588235293,38.0
7,0.6904761904761905,0.7435897435897436,0.7160493827160495,39.0
accuracy,0.5625,0.5625,0.5625,0.5625
macro avg,0.5728565301834505,0.5404858299595141,0.5424518626611927,288.0
weighted avg,0.5734692286942394,0.5625,0.5584234930934614,288.0
