,precision,recall,f1-score,support
0,0.723404255319149,0.8947368421052632,0.8,38.0
1,0.6571428571428571,0.6052631578947368,0.6301369863013698,38.0
2,0.7142857142857143,0.7894736842105263,0.7500000000000001,38.0
3,0.696969696969697,0.5897435897435898,0.638888888888889,39.0
4,0.52,0.6842105263157895,0.5909090909090909,19.0
5,0.6818181818181818,0.38461538461538464,0.4918032786885246,39.0
6,0.6666666666666666,0.6842105263157895,0.6753246753246753,38.0
7,0.6888888888888889,0.7948717948717948,0.738095238095238,39.0
accuracy,0.6770833333333334,0.6770833333333334,0.6770833333333334,0.6770833333333334
macro avg,0.6686470326363944,0.6783906882591093,0.6643947697759734,288.0
weighted avg,0.6786679676706273,0.6770833333333334,0.6688108496190828,288.0
