,precision,recall,f1-score,support
0,0.7857142857142857,0.868421052631579,0.825,38.0
1,0.6944444444444444,0.6578947368421053,0.6756756756756757,38.0
2,0.673469387755102,0.868421052631579,0.7586206896551724,38.0
3,0.7352941176470589,0.6410256410256411,0.6849315068493151,39.0
4,0.5454545454545454,0.631578947368421,0.5853658536585366,19.0
5,0.7,0.5384615384615384,0.608695652173913,39.0
6,0.7714285714285715,0.7105263157894737,0.7397260273972601,38.0
7,0.775,0.7948717948717948,0.7848101265822786,39.0
accuracy,0.71875,0.71875,0.71875,0.71875
macro avg,0.710100669055501,0.7139001349527665,0.7078531914990189,288.0
weighted avg,0.7212404900933438,0.71875,0.7157772787562329,288.0
