,precision,recall,f1-score,support
0,0.75,0.868421052631579,0.8048780487804879,38.0
1,0.6875,0.5789473684210527,0.6285714285714286,38.0
2,0.725,0.7631578947368421,0.7435897435897436,38.0
3,0.6756756756756757,0.6410256410256411,0.6578947368421052,39.0
4,0.6111111111111112,0.5789473684210527,0.5945945945945946,19.0
5,0.5333333333333333,0.41025641025641024,0.463768115942029,39.0
6,0.65,0.6842105263157895,0.6666666666666667,38.0
7,0.6808510638297872,0.8205128205128205,0.7441860465116279,39.0
accuracy,0.6736111111111112,0.6736111111111112,0.6736111111111112,0.6736111111111112
macro avg,0.6641838979937384,0.6681848852901484,0.6630186726873355,288.0
weighted avg,0.667328659554945,0.6736111111111112,0.6671049586769043,288.0
