,precision,recall,f1-score,support
0,0.6666666666666666,0.6842105263157895,0.6753246753246753,38.0
1,0.35555555555555557,0.42105263157894735,0.38554216867469876,38.0
2,0.5306122448979592,0.6842105263157895,0.5977011494252874,38.0
3,0.42105263157894735,0.41025641025641024,0.4155844155844156,39.0
4,0.5,0.15789473684210525,0.23999999999999996,19.0
5,0.47619047619047616,0.2564102564102564,0.3333333333333333,39.0
6,0.6,0.631578947368421,0.6153846153846154,38.0
7,0.56,0.717948717948718,0.6292134831460674,39.0
accuracy,0.5173611111111112,0.5173611111111112,0.5173611111111112,0.5173611111111112
macro avg,0.5137596968612006,0.4954453441295546,0.48651048010913667,288.0
weighted avg,0.5143756630332444,0.5173611111111112,0.502490684670977,288.0
