emotion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
anger,-331.8715515,27.90686798,-110.2326126,44.63768768,-54.93832016,19.75473213,-36.40104294,-1.317050099,-22.89796066,-7.359390736,0.345950335,-17.04339981,6.569296837,-16.62893486,8.26819706,-13.41871452,-0.203338712,-7.013313293,-5.192355156,-5.55819273,0.043160602,0.291160301,3.131466627,5230.973307,3335.652405,1672.151422,0.328648955,0.41565004,0.415358305,0.40156886,0.478740305,0.535892248,0.505905688,0.412161052,0.431792557,0.470623523,0.495172679,0.378710359,899.8314843,0.483977646,-0.227264181,-0.142297536,0.099486656,-0.064313486,0.024691287,-0.028657503,0.015828816,0.006579466,-0.006516574,-0.017650329,0.030480767,0.004925766
anger,-331.5736694,11.20391846,-94.62724304,59.61291885,-55.62444687,29.00239372,-38.85890961,7.825722694,-28.679245,-18.68738365,-1.894311786,-16.14933014,3.284334183,-20.20342064,10.07783222,-15.75177574,2.616748571,-7.357057571,-2.528482914,-4.947032452,0.037154764,0.319362475,2.683424473,5824.965502,3765.621511,1763.07089,0.32125777,0.422498286,0.399239987,0.477572143,0.626945257,0.631728828,0.482141584,0.387460411,0.418754995,0.396687627,0.346761882,0.271417379,931.2738935,0.454914451,-0.246764362,-0.048680034,0.071057707,-0.098401681,0.0368714,-0.033742633,0.02261702,-0.016311986,0.038582128,-0.032508634,0.002784399,0.018190641
anger,-359.1346436,22.48272705,-104.0744095,41.91271973,-50.13607407,17.86597633,-37.72598648,-5.258974552,-26.22999382,-18.92188644,-4.867432594,-9.920735359,3.597075701,-25.15094948,5.280766487,-11.4571991,-5.867705345,-11.19036007,-3.426168442,-4.639765263,0.033539072,0.2830003,2.95057416,5292.530048,3385.624989,1694.3922,0.316664487,0.386012197,0.524343908,0.563885391,0.544158995,0.363994449,0.361259907,0.379013151,0.382931262,0.361445814,0.335716575,0.35913378,904.9537171,0.402267605,-0.190626591,-0.120632865,0.083559528,-0.060149916,0.019722773,-0.014648953,0.014618456,0.000384367,0.003783767,-0.004637008,0.006780172,0.007212887
anger,-353.6443787,14.64272785,-96.23519897,35.69831467,-62.83187866,21.03373337,-34.15727234,-1.432175636,-17.92382622,-17.96770287,-2.528293133,-10.54428101,-2.082953215,-17.7569294,9.894506454,-17.74411011,-2.834467411,-9.280104637,-5.1850667,-2.427624702,0.035708107,0.269756189,2.728678226,5508.507889,3452.863856,1741.050176,0.473329365,0.480566055,0.38917473,0.382026851,0.471246481,0.364034772,0.277168572,0.316847801,0.392358512,0.409885406,0.335906059,0.40895772,807.2508492,0.427395076,-0.188460574,-0.125809267,0.040325478,-0.024003282,0.049908888,-0.06614165,0.026426084,0.008708542,-0.002970267,-0.002712991,0.01182168,0.010382801
anger,-346.8156433,20.87252617,-93.46451569,57.13049316,-58.48266983,22.59047318,-39.04291153,3.974456549,-25.9629631,-11.34571934,4.249792576,-17.70956802,5.44500351,-17.18061256,11.76423073,-14.15367126,0.372882754,-4.359507561,-3.212703943,-2.662441492,0.027687255,0.296586619,3.056657553,5599.283144,3576.971255,1743.332892,0.325010061,0.367811799,0.346203029,0.360961258,0.440526456,0.575431228,0.585251451,0.558010876,0.530774057,0.523900867,0.401815236,0.308594137,730.4549192,0.371084839,-0.178614691,-0.053757038,0.043507859,-0.082427673,0.033961929,-0.014575842,0.024053207,-0.011722263,0.013300946,-0.023935771,0.013195521,0.004978149
anger,-335.7505493,19.98966217,-101.6874542,41.39771652,-62.42766953,21.1739502,-39.29151154,-3.771352768,-24.4548378,-14.58679962,1.180610895,-14.58459187,2.615027189,-16.75027084,9.054771423,-16.20253754,-5.231683731,-9.438316345,-4.232110977,-7.190699577,0.037214246,0.278110504,3.070103407,5430.068207,3411.73767,1757.286254,0.35898757,0.383450866,0.392242432,0.438922435,0.460336387,0.423732221,0.333534628,0.359008998,0.433947891,0.393780798,0.339397192,0.365731001,723.8841902,0.430503517,-0.194976285,-0.114472121,0.046758603,-0.051494196,0.046998866,-0.039260581,0.024494508,-0.001775637,0.004007458,-0.011709792,0.016339367,0.014975119
anger,-325.1473999,14.85943222,-102.6109085,52.52612686,-65.88640594,19.06321144,-40.47589874,0.20483309,-30.41569519,-17.95034409,-5.213701248,-19.01844406,3.634381533,-21.82937241,9.526329041,-13.70174789,-2.465620995,-10.40688801,-2.524051189,-5.558311939,0.040510777,0.290728082,2.763440847,5478.884277,3579.242393,1699.903524,0.387046337,0.354231566,0.364188373,0.415671796,0.482537955,0.455191761,0.405133218,0.428849667,0.449937612,0.469429702,0.428740174,0.460369825,793.1046154,0.487217605,-0.247416407,-0.083890796,0.06086459,-0.09501373,0.05022189,-0.031145999,0.017705236,0.007520344,0.014895439,-0.031641547,0.031352233,0.001063826
anger,-336.7976074,34.81319427,-102.5992584,68.64425659,-51.91002655,25.60900307,-46.00799561,1.427460313,-28.44418335,-11.8726244,-5.553296089,-16.26120758,6.823337078,-22.46980476,15.13582706,-13.92162418,-0.458231002,-7.227088451,0.232144356,-3.135039568,0.032005418,0.263079704,2.767388582,5362.569346,3460.253097,1681.255953,0.388754904,0.408449024,0.441532254,0.456947654,0.469021082,0.381946564,0.372558475,0.463221014,0.489433199,0.500701249,0.411316842,0.371966839,840.4237566,0.424932897,-0.197893202,-0.06212686,0.071419537,-0.109398954,0.01469338,-0.00584607,0.037610121,-0.004689956,0.00321705,-0.011598601,0.012865303,-0.003242426
anger,-358.4306641,22.11402702,-88.20648193,67.06002808,-50.05298233,26.02149391,-42.0079689,10.71536541,-22.60749054,-13.48585224,-2.677927971,-16.45164871,3.876125813,-18.64123726,15.92934322,-15.10022831,1.39426744,-7.206212521,-2.37511301,-1.721185207,0.027525935,0.269850363,2.842196703,5663.401975,3595.826117,1780.255227,0.359768599,0.377087295,0.401872605,0.415294468,0.542765379,0.541804075,0.461410463,0.467750221,0.454097211,0.464416474,0.382733434,0.378781736,713.080704,0.374295831,-0.17603448,-0.027132872,0.048677817,-0.089165032,0.016649878,-0.011628093,0.033316851,-0.018147213,0.027822169,-0.013325379,0.007603605,0.001199761
anger,-345.0948181,36.51957321,-80.17641449,40.83439636,-57.17160416,14.07232475,-29.58308983,1.283293128,-26.36010933,-9.463506699,0.402057588,-14.56134796,4.225444794,-20.18228531,10.54473114,-10.93978882,-2.138435364,-4.456069946,-3.761511326,-4.496801853,0.03131295,0.264878425,2.579438925,5272.045898,3305.458799,1759.995184,0.345093459,0.376741081,0.403047442,0.404907197,0.506429553,0.567881107,0.496494859,0.477370232,0.459596306,0.445760757,0.428608984,0.392066866,766.5450326,0.400269657,-0.139656618,-0.111051232,0.028561817,-0.060196694,0.030494537,-0.017372588,0.009779126,0.007053372,0.000414818,-0.026408996,0.016213592,0.005232679
