emotion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
anger,-362.5951233,-37.60122299,-48.23239136,6.003060341,-25.07871246,-20.51317596,-34.78446579,-1.342354417,-21.54537201,1.786890745,-20.44716072,0.725204468,-18.17794037,6.634544373,-24.64034653,-2.241485596,4.590902805,11.4569788,10.7299614,15.14962482,0.02019486,0.323301211,2.444049597,7054.490309,4316.516843,2316.058692,0.290014654,0.501078904,0.431292236,0.305023402,0.280868411,0.24872677,0.297596633,0.292631179,0.538905382,0.38016817,0.297981799,0.264971465,782.4631273,0.340771854,-0.179931387,-0.050014913,0.018023271,-0.031428568,-0.017283868,0.038165312,-0.001025628,-0.005028932,0.010254091,0.00347737,0.006383848,-0.022249281
anger,-346.2238159,-33.56898499,-36.26826096,13.89330196,-19.31612015,-23.37984276,-29.90008736,5.787190914,-16.08472061,-1.29049027,-16.8929615,1.667436719,-13.07586861,0.908432186,-17.64776993,-3.457749128,-12.38144207,-3.77579236,-10.73915672,3.54238224,0.032929908,0.297858161,2.084356546,6755.605997,4102.626876,2249.984186,0.358046979,0.447772205,0.530204415,0.46961531,0.379884422,0.289626628,0.237112299,0.273754954,0.236145273,0.278989047,0.375302851,0.434348494,764.495937,0.437277406,-0.221548319,-0.065160193,0.050408591,-0.072689749,-0.040983684,0.07374502,-0.003041904,-0.046340354,0.036424898,0.027149376,0.000462376,-0.010228716
anger,-291.8967896,-20.54530334,-55.55875015,11.58885765,-25.37498093,-12.94839859,-29.81589317,-7.787092209,-19.88079643,9.840579987,-9.115527153,4.422178745,-11.45456505,-6.890882492,-16.96677399,5.43973875,-19.16422653,2.936074257,-5.932630539,-1.647046089,0.026101166,0.31067627,2.1410079,6696.018677,4037.558626,2270.678833,0.329851389,0.312790304,0.355609328,0.40474987,0.457807124,0.393317074,0.366697073,0.342807949,0.391958892,0.58930546,0.567970634,0.413806111,921.4036576,0.409317523,-0.2219823,-0.063505642,0.054686219,-0.056955602,0.005198083,0.016559433,-0.006201859,-0.003419538,-0.010697208,0.003302379,0.033527128,-0.01351078
anger,-556.5895996,-19.63521957,-19.82464218,13.39530087,-15.58169365,-8.437347412,-8.338807106,-6.829677105,-18.90038109,5.713587761,-17.0289402,1.766184092,-8.00082016,1.150028706,-8.526251793,12.53189945,-17.39531898,6.368620872,-9.491734505,0.941604137,0.00381588,0.409382813,2.08462429,8005.872656,4972.59622,2543.922046,0.51907444,0.524853766,0.517297208,0.462698847,0.364293605,0.327968299,0.315606713,0.361629725,0.498983264,0.634113729,0.666407764,0.595376611,979.2033867,0.101551436,-0.040616442,-0.009334935,0.002951525,-0.01979737,0.003101834,0.003289125,-0.008537761,0.009360479,-0.008227425,-0.001386826,0.005338771,-0.002092106
anger,-377.1202698,-35.35167694,-48.73607635,19.71848106,-21.333498,-21.63574028,-31.12542343,0.779414892,-20.15823555,0.61021018,-18.03674507,0.403030306,-14.2553997,3.635490656,-17.86321068,-8.386615753,-7.104906082,-4.517716885,-4.626236916,14.64070034,0.025441563,0.277998369,2.23670435,6323.071289,3842.627913,2063.245525,0.420027882,0.430146635,0.430686951,0.344379485,0.421870053,0.317851424,0.375688672,0.419282675,0.496753573,0.2709153,0.308013797,0.476459086,799.8728136,0.364819854,-0.199879006,-0.059291445,0.076920651,-0.090492494,-0.014058812,0.056298204,-0.013608336,-0.015410408,0.027106868,0.005683496,0.0121267,-0.019600499
anger,-364.0969849,-26.28474808,-58.36271286,9.656033516,-20.90924072,-16.64860916,-31.53404617,1.07727766,-19.33316422,-1.076814294,-16.143116,1.454577684,-13.28314781,5.120558739,-21.28665543,-9.653621674,-5.916723251,-6.785504341,-2.662082195,11.27985573,0.023926938,0.250366211,2.421804428,6392.26593,3699.133418,2201.352485,0.347977012,0.398417771,0.34926194,0.474457502,0.355101854,0.323968798,0.269189358,0.379372001,0.38358444,0.255147159,0.326522022,0.376771241,745.7274697,0.364086866,-0.172089174,-0.095028751,0.057040729,-0.048607092,-0.018383736,0.041766886,0.002269316,-0.026345851,0.020681104,0.011094173,0.010116745,-0.01115787
anger,-340.3721619,-51.83238983,-44.59052277,20.31182289,-29.63550949,-27.11014366,-26.9340477,3.040546417,-30.48003578,-4.574459076,-20.42567825,-5.329847813,-17.21649551,-0.047851015,-19.13348007,6.623895168,4.146051884,20.63846016,15.76347065,20.96702003,0.031449109,0.332849121,2.380536556,6802.608032,4216.865256,2167.228964,0.231997415,0.370217174,0.333256036,0.264235616,0.297772288,0.2959764,0.395508796,0.437998921,0.583885252,0.480511963,0.362191319,0.280986339,772.4868166,0.433242261,-0.243423253,-0.024963412,0.040116079,-0.125632614,0.011124999,0.068597585,-0.028093895,0.029496251,0.033253461,-0.036932684,-0.000356448,-0.027046699
anger,-260.9298401,-22.91950607,-67.46134949,3.559882164,-22.46006775,-8.475253105,-31.61216545,-4.307496071,-21.37477303,7.077647209,-10.41845036,7.809030056,-11.755826,-5.582097054,-18.87488174,4.138047218,-18.7093544,1.420369744,-9.627344131,-4.294300556,0.028751286,0.31196553,2.044192791,7030.227084,4162.50381,2389.466142,0.493466675,0.41110608,0.47814703,0.536736906,0.559777498,0.468197644,0.410073936,0.327752501,0.346446633,0.480030715,0.472824514,0.499781281,985.9249182,0.448805273,-0.247905701,-0.090119533,0.073881343,-0.031285059,-0.026733525,0.022607619,0.0122261,-0.023454415,0.000212938,0.003150021,0.018609259,-0.001001551
anger,-293.6018066,-25.90452385,-55.86276627,15.39898872,-28.81998634,-12.11955261,-26.3539505,-6.091228008,-25.11336899,9.517783165,-12.90985298,-1.37761116,-9.583875656,-6.844090939,-16.41415787,8.916430473,-18.22481155,3.358653784,-8.936715126,-5.80453968,0.032727633,0.298298625,2.304450989,6619.502397,4008.826547,2225.181219,0.367385089,0.321122617,0.329731047,0.32109949,0.380084902,0.367112637,0.339791477,0.305730611,0.459677517,0.63534534,0.589886189,0.3921628,1072.501508,0.448684663,-0.265672415,-0.059148427,0.085141309,-0.080301091,0.003822842,0.018118102,-0.00881625,0.007301009,-0.005629906,-0.004059904,0.036402944,-0.023458403
anger,-352.1047668,-23.9243412,-53.87969589,8.656515121,-22.48872757,-20.28385353,-30.23067856,7.305564404,-17.63516045,1.390246868,-22.72190094,-4.648311138,-14.50928974,1.036853313,-15.32241535,-6.052005768,-9.587560654,-0.804933012,-4.449160576,7.030827522,0.021744542,0.26769556,2.33980751,6586.843293,3844.156465,2235.986858,0.39177233,0.457609206,0.456400096,0.361803353,0.284348071,0.282707572,0.28695491,0.335467458,0.389581084,0.370979697,0.337325364,0.370317578,851.0328684,0.348617584,-0.158670247,-0.079528429,0.044698562,-0.049540028,-0.025036089,0.040776826,-0.010037522,-0.016902667,0.036256727,0.007418961,0.003627508,-0.019256547
