emotion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
anger,-575.6271973,11.55648708,-34.93231201,47.38604355,-38.74926758,7.513234615,-29.22040749,5.697566509,-36.81837845,-2.610925198,-17.99430466,-0.865073383,-23.56307411,10.98207569,-15.82170296,-15.04845238,5.256043911,-11.19859314,-9.697154999,-7.313310146,0.004235493,0.317249645,2.475906372,6193.813809,3903.86927,2084.718939,0.247573182,0.334141254,0.419570208,0.331477851,0.305830121,0.429128736,0.520505071,0.563556135,0.420003414,0.38727358,0.387245983,0.301161259,824.1040365,0.104048491,-0.04615147,-0.000949968,0.005700398,-0.034679879,0.004230412,-0.000169685,0.00128788,-0.000147596,0.00614145,-0.00581855,0.001917511,0.006362069
anger,-541.1380005,46.04310989,-47.47421646,35.82961273,-31.66383934,7.819523335,-23.84255219,-3.073027372,-32.14987183,7.39951849,-10.54118824,-8.585101128,-19.46339607,7.788599491,-12.3587141,-15.14043522,8.180692673,-7.998586178,-0.199351996,-5.551892757,0.005020517,0.237504747,1.81710577,5381.207275,3248.727953,2063.821232,0.266325712,0.238780424,0.254445195,0.224553421,0.229472429,0.318113387,0.56443435,0.627168119,0.445197433,0.453974456,0.32851395,0.242984369,691.6365716,0.128911957,-0.017484976,-0.036845833,0.0047803,-0.031009601,-0.007115915,-0.002244702,-0.000746059,0.006702851,-0.00042101,-0.00019534,0.010890649,0.002476288
anger,-565.3793945,24.30463028,-53.07836914,34.5698967,-31.67841339,12.62301445,-34.1243782,6.078561783,-30.61021042,5.482370377,-11.76519585,-5.851791382,-15.53522587,7.400295734,-13.15611935,-3.479553223,0.005094594,-14.6448822,-5.199180126,-4.684116364,0.003127228,0.2762373,1.820263505,6045.314184,3646.284728,2180.388572,0.257463098,0.254524797,0.248262599,0.227672771,0.283926278,0.379785031,0.497674018,0.701476395,0.582090616,0.419977963,0.31696257,0.30561465,471.1680261,0.099782795,-0.023737678,-0.018730653,0.002261268,-0.02102308,-0.004071272,-0.003408538,0.000767766,-0.002140221,0.002259072,-0.002710416,0.009598621,0.003404293
anger,-546.9747925,25.17388916,-59.24121094,30.08155441,-32.37387466,13.3068285,-31.02700806,1.954244971,-28.21316338,7.774423122,-16.85046577,-9.698451042,-13.78076172,4.655394554,-16.90877151,-6.014478683,1.909180045,-14.17901707,0.240998328,-8.87254715,0.004534873,0.284991529,1.867879152,5934.602668,3622.307528,2112.15786,0.296561956,0.27087447,0.249872416,0.277810097,0.319278121,0.362349927,0.524958551,0.646597266,0.602610826,0.536414325,0.44210729,0.371974826,578.5546063,0.124097809,-0.03127395,-0.032745726,0.010631402,-0.023034533,-0.006148798,-0.004322306,0.000309405,0.001292349,-0.00020508,0.000556803,0.012278575,-0.002720256
anger,-581.9180298,25.31407547,-44.6121254,34.45549011,-35.58626556,16.42177582,-26.08570099,3.37019062,-28.99033356,8.1220541,-13.12757778,-7.028642654,-16.15257263,2.979209185,-11.36438847,-6.850942135,2.060678959,-10.6550951,-9.273737907,-5.943119526,0.003389883,0.28955761,2.024004221,6181.91157,3705.307587,2209.580379,0.305059522,0.28870371,0.333880633,0.298979193,0.305242538,0.399161398,0.519721985,0.597606897,0.628448009,0.567396224,0.48909083,0.414484501,670.8312871,0.099418409,-0.022083286,-0.015583301,0.000743874,-0.024945032,-0.002384929,-0.0034837,-0.003287985,0.000998975,0.002489405,-0.002943147,0.011646154,0.003144533
anger,-597.494873,32.38162231,-48.82115555,19.99053574,-31.11887741,6.755876064,-21.13793373,-0.401065379,-25.82731438,1.919567466,-11.03450871,-4.018713951,-10.92899799,6.275988579,-11.8569231,-14.10534382,-0.162365049,-11.6156435,-2.95328331,-5.822911739,0.004243634,0.281046875,1.841508985,5983.904883,3536.679564,2220.48772,0.425740629,0.492430329,0.445428342,0.380531192,0.381093025,0.463249892,0.540053666,0.598634243,0.53071779,0.551490128,0.502526283,0.430855542,645.5532518,0.107374005,-0.018187962,-0.031261358,0.005573763,-0.027864244,-0.00330518,0.003478135,-0.004296974,0.003973022,0.000807004,-0.002873679,0.009607048,0.005104364
anger,-442.7367249,9.803063393,-56.98260117,36.40533829,-40.20389938,-4.696068764,-41.99831772,-0.866761684,-32.05953598,-1.941381574,-30.01141357,10.10290909,-15.68552494,-1.815425992,4.307354927,2.063794374,9.293607712,0.879838765,8.680275917,5.536390781,0.015720172,0.260108632,2.094189644,5831.493939,3531.900556,2086.569699,0.346888989,0.375302047,0.379456282,0.280695319,0.370824903,0.346477449,0.278267503,0.345132649,0.252294153,0.24001056,0.289013296,0.351269126,608.8277648,0.273874521,-0.093123972,-0.075352997,0.014909689,-0.067722999,0.001281296,0.032295458,0.027032722,-4.78E-05,0.004238706,-0.007465995,-0.025494022,-0.005134589
anger,-468.4928284,19.79922867,-49.32751083,19.18099785,-31.21246147,5.200368881,-38.66382217,-3.711170197,-34.72795105,6.007936478,-22.49072266,-1.025801063,-4.632149696,-1.957973123,-15.68448067,-3.803984404,3.672269583,-11.78338242,6.461705685,-6.842065811,0.008467795,0.276238692,1.847947478,6599.521998,3785.217574,2347.405806,0.407723993,0.303046912,0.296042442,0.296768516,0.357007265,0.361844808,0.29519555,0.403839409,0.575725496,0.552338362,0.47915116,0.461579561,709.9983051,0.19021,-0.048505004,-0.039631125,-0.016535666,-0.03093525,-0.008614462,0.00231814,0.025832906,0.00027923,0.003056395,-0.014135965,0.010862262,-0.00677836
anger,-500.3394775,15.25253105,-56.70592117,35.04401779,-29.12337875,17.56799126,-47.50976181,2.039183855,-30.39650726,10.04943943,-18.98269081,-2.928110123,-4.582395554,2.718237877,-19.89251137,-3.83782053,-1.831067324,-18.49438477,-1.185717106,-8.295209885,0.005931325,0.28352584,2.027680159,6165.116935,3829.724784,2101.045315,0.312982023,0.26000151,0.231757596,0.21951066,0.262521207,0.317207038,0.349550903,0.451317012,0.608453274,0.543496013,0.488262087,0.360749841,651.8637181,0.135705605,-0.052549977,-0.012630027,-0.00409642,-0.014745874,-0.008701728,-0.008575731,0.018000094,-0.012559251,0.002534385,-0.004033996,0.012623903,-0.000930798
anger,-456.5861206,21.56081581,-65.45174408,29.85842705,-36.82312012,6.696643353,-37.12457657,-6.346621513,-23.54656792,5.279020309,-9.765686989,-6.442375183,-5.434928894,2.039909601,-16.10317039,-7.519921303,-0.606793821,-16.7492981,1.66978991,-5.578211784,0.011580269,0.254285156,2.029253483,5800.700391,3482.629641,1993.031357,0.3527098,0.304917157,0.219219223,0.278576732,0.357792586,0.400821984,0.436663657,0.422403812,0.472123772,0.453049272,0.412215292,0.306185544,632.1217493,0.212309465,-0.079203606,-0.062639289,0.023268243,-0.027028248,-0.00399428,-0.002808876,0.01630407,-0.002596354,-0.007512031,-0.003435796,0.018494505,-0.002767728
