emotion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
anger,-348.5263367,-35.09552765,-34.17618561,-14.0769558,-31.66533852,5.297586918,-12.28124237,-12.07311153,-33.79981232,10.76931,-20.41756821,0.393382847,-19.98674774,6.472485542,-7.92579031,12.34801197,7.51531744,26.06571579,-0.07073456,7.259530067,0.026348827,0.351043217,2.680528879,7840.136719,4713.252372,2603.993315,0.443786263,0.309381455,0.226497576,0.446006179,0.378110707,0.240189195,0.314444363,0.3401106,0.583984554,0.346194804,0.289854914,0.426247358,582.6983512,0.412296474,-0.229920343,-0.055406321,-0.00144625,0.013076863,0.002846256,-0.014655223,0.006706491,0.041316301,-0.015886653,-0.018680312,0.01905884,-0.029909821
anger,-303.0445251,-2.885917664,-53.39125443,9.692646027,-18.13086319,13.04049015,-41.12091827,-14.17999268,-19.4903717,-13.90246868,-28.52228355,24.2363987,-30.3884182,7.930263519,-10.34797287,2.639926672,-13.83729076,6.138671398,-19.66683388,14.2457819,0.02828227,0.332580566,2.517377853,6678.208923,4194.990742,2338.250446,0.622367382,0.639905393,0.476530671,0.40313068,0.284935415,0.279153645,0.372350931,0.326914698,0.355276316,0.355583221,0.329768002,0.434917688,1088.15817,0.427221894,-0.225374177,-0.052737284,0.024167862,-0.036955424,-0.005524725,-0.019679774,0.04492373,0.001637718,-0.026353452,0.025001081,-0.016581357,0.006990303
anger,-315.4365234,3.01642108,-58.35158539,26.56274796,8.155772209,0.898569107,-43.96002197,11.62955952,-34.06699753,-10.41034126,-13.0512476,3.722675562,-23.9227581,12.35011673,-13.89610291,4.021484852,-7.153341293,-2.732355356,-15.20439053,12.44151497,0.027637573,0.311121687,2.381781816,5999.313934,3818.932301,2156.830396,0.538013756,0.530901253,0.46177268,0.533694208,0.494588524,0.348285824,0.340282619,0.43805179,0.373919636,0.33422175,0.352383912,0.352082551,606.1167901,0.409378171,-0.187761769,-0.09717451,0.077576719,-0.032240435,-0.076225676,0.04360171,0.021894472,-0.028891973,0.015510311,-0.014570611,0.002806618,0.013393502
anger,-325.0697632,-51.36798477,-2.273484707,15.35644531,-11.71594334,-2.469746828,-26.27515221,7.56659174,-30.19632912,9.715498924,-32.74550247,0.921131134,-17.66851044,0.064923994,-23.51491547,10.77254391,-18.72843552,2.530471563,-6.244628429,0.097129703,0.033257987,0.496116461,2.675951004,8498.187114,5754.970691,2543.536321,0.511606753,0.4310669,0.394252419,0.337564439,0.324510664,0.266347468,0.294967622,0.346851468,0.449480832,0.577800691,0.513006091,0.51069653,698.7495627,0.396726072,-0.272075713,0.107314222,-0.081212506,-0.00233065,-0.024016201,0.011748638,-0.009223248,0.005839508,0.006051564,-0.022433886,0.024704389,-0.021642473
anger,-312.3779297,-21.08453178,-25.94683075,2.342175961,-21.92656708,-12.83710289,-31.08929062,-8.503278732,-32.36461258,1.674059749,-23.7463398,-4.473341465,-9.456403732,-0.414915115,-20.58751488,15.16265392,-36.24883652,6.052688122,-5.091411114,-6.309737206,0.026508657,0.407349659,2.68640399,8022.65625,4913.429457,2631.214312,0.40879342,0.349739522,0.518995583,0.553080082,0.400238901,0.253438085,0.204662591,0.269639283,0.411740899,0.534120262,0.464106172,0.404658169,601.8226451,0.404600203,-0.217974603,0.000562646,-0.033544753,-0.033493549,-0.005593688,0.023402633,-0.007393833,0.015565158,-0.024150224,-0.003954898,0.017792061,-0.000641366
anger,-356.718811,-14.55930424,-26.68288231,20.85124969,7.359486103,4.572840214,-18.03996277,-6.898051262,-35.40300751,16.16562653,-20.56345749,5.750246525,-13.13927841,9.464712143,-5.471426487,2.999803305,-16.23396301,7.647801399,-13.25228405,10.6248951,0.025399102,0.426990327,2.154903173,7931.616211,4834.251691,2593.351437,0.466847897,0.425028503,0.387884051,0.412066877,0.358986855,0.326292694,0.427240759,0.494466364,0.550569594,0.525918305,0.482968897,0.488655388,995.298028,0.363844037,-0.210581109,0.050681718,-0.026941212,-0.012505211,-0.049289282,0.017002769,0.009568268,0.00168261,-0.008362384,-0.017654262,0.022660375,-0.016593931
anger,-307.9641113,-42.4500351,-8.599658012,2.211069345,-29.22078896,-2.857963324,-31.49684906,4.847905636,-39.83368683,14.80987835,-22.5091362,-4.747579098,-24.53203964,10.74291039,-25.81735229,8.222722054,-25.9579525,2.277634144,-1.370247245,-5.618990421,0.038556647,0.466418115,2.662039042,8334.557079,5496.15342,2593.480113,0.40784061,0.359835595,0.394578904,0.360449523,0.344109178,0.317426771,0.321451068,0.389739037,0.492381066,0.620317817,0.614830077,0.537286937,675.5359101,0.456006855,-0.305657506,0.082785912,-0.093053058,0.011397242,-0.016085166,0.015881481,-0.003653722,-0.001173706,0.006091221,-0.028226089,0.04153949,-0.014411028
anger,-282.6783752,-16.32158279,-18.90966034,3.386307001,-13.1720562,3.217403889,-3.970904112,9.353158951,-33.69623184,-1.87762773,-12.36210251,1.484328508,-15.0886755,0.022684097,-6.218924522,9.169946671,-12.15243721,9.089081764,-8.798098564,-3.105253696,0.026023244,0.38910675,2.302152157,7944.574356,4832.568684,2615.499181,0.365564436,0.312960297,0.366176754,0.448233724,0.523424149,0.57208544,0.490267009,0.402922988,0.429745913,0.43883577,0.404490441,0.454669744,713.680597,0.424423665,-0.210170999,0.004709444,-0.018639583,-0.00944226,-0.028710203,-0.007531032,-0.014647665,0.014396526,0.025239391,-0.049707256,0.013650757,0.013584509
anger,-360.1603088,-14.62711048,-23.00296783,3.922664404,-23.8559494,-7.48846674,-11.95234871,-4.442976475,-21.24645424,11.38573837,-30.01816368,-11.90067387,-17.26398277,4.516836166,-9.821055412,-11.39252186,-12.96488762,11.19701672,-9.078448296,-2.887574196,0.015707701,0.349675731,2.585773706,7622.339806,4517.233093,2591.714731,0.435677439,0.355168432,0.314966708,0.316321731,0.293565065,0.321325719,0.28462702,0.368025362,0.471641123,0.551929951,0.591972053,0.487423539,593.3011312,0.284530938,-0.121265322,-0.016311465,-0.030855563,-0.013793122,-0.009447605,-0.001708186,-0.009329508,0.009477756,0.00949675,0.005872229,0.015605391,-0.023997912
anger,-346.229248,68.76589966,-96.73752594,28.56818962,-39.36062622,21.42241859,-45.35623169,21.053339,-34.54915237,7.154138565,6.241824627,-11.54076767,6.029706478,-20.54143143,3.930413961,-6.329479218,-9.614076614,-18.61698151,5.157402515,-3.480303288,0.019401349,0.263511256,2.479112625,5235.26001,3076.391789,1876.796316,0.188379303,0.291982025,0.431300104,0.54666543,0.487236261,0.538908482,0.562680721,0.479711831,0.477246046,0.407237858,0.342894346,0.197574452,490.0220653,0.354020387,-0.104580224,-0.109382205,0.018745923,-0.012674901,-0.00729728,-0.013313939,0.017553331,-0.026563633,0.000831714,-0.02428356,0.036758151,0.012716888
