emotion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
anger,-631.7260742,-15.17932892,-14.84231663,-3.066946507,-17.5075531,-6.818156242,-14.23464394,-10.09918213,-15.35381031,0.762969434,-9.838075638,-3.651851892,-5.333261967,-2.803641558,-7.959824562,-2.684476852,-3.695998669,-4.396725178,-7.108232498,0.204898804,0.00641635,0.380792923,1.526597023,6878.902783,4519.18999,2122.847598,0.480846435,0.436144799,0.419443607,0.387153536,0.311060429,0.413200229,0.394159436,0.412169427,0.48850739,0.483051717,0.461154431,0.467947483,1278.697056,0.101308838,-0.056801215,0.001400215,-0.012735805,-0.004149885,0.002832684,0.003001769,-0.004707473,0.004292187,-0.000815049,-0.00413441,0.009539001,-0.005029398
anger,-660.0735474,-8.440030098,-22.88898277,-4.286885262,-18.20154381,-5.812738419,-12.51995182,-10.92858028,-10.67120552,-1.007246852,-9.959216118,-0.842471063,-10.63938618,1.84051621,-8.995073318,-2.450095654,-6.063489437,-2.645712614,-8.004258156,0.006167312,0.003460014,0.380236292,1.420440912,7237.666255,4695.603996,2273.129137,0.564192832,0.583794951,0.547916055,0.431882858,0.40053314,0.456035733,0.524411559,0.534763217,0.525161386,0.510422111,0.562922359,0.518504679,1283.452721,0.076179951,-0.035537969,-0.008751039,-0.006164571,-0.003507685,0.003833717,-0.002141233,-0.000379406,0.001418848,8.52E-05,0.000305137,0.003091691,0.000774173
anger,-539.7245483,-16.86588287,-34.81855011,-0.054666914,-22.26378822,-8.323483467,-6.448178768,-13.30208015,-4.859289646,-2.69020462,-6.658430099,-0.733630717,-9.782024384,1.987630963,-6.878677368,1.892687321,-1.855497599,4.96172905,-0.578414798,5.564777374,0.010731244,0.348806167,1.403171301,6260.109878,4018.712674,2057.903008,0.462493956,0.521896422,0.434722364,0.388683081,0.307202041,0.399124414,0.424411267,0.453101069,0.455872446,0.401322901,0.400098592,0.382461041,1332.779378,0.159421995,-0.079667419,-0.039335474,0.018261408,-0.02219183,0.01950095,-0.002419319,-0.00419073,0.012155459,-0.007021537,0.00066356,-0.00167482,0.002831108
anger,-558.7539063,-14.50940514,-22.04055786,-0.00418235,-18.47958374,-12.89908886,-9.928091049,-10.07359314,-14.10876465,4.195162296,-13.57778168,-1.518246174,-3.487137079,-4.039833069,-6.941974163,-4.868185997,-6.859232426,-0.834988534,-4.59381485,2.8748281,0.010768495,0.366196743,1.64622426,6567.188777,4162.919907,2128.074831,0.535018027,0.456880122,0.399673462,0.336274713,0.352674365,0.349148095,0.36738807,0.425185084,0.479100704,0.478471458,0.455289721,0.487421334,1248.522043,0.153282091,-0.077034548,-0.021598987,-0.000472521,-0.019833414,0.018389503,0.003966834,-0.011172559,0.009525659,-0.004937655,0.000216969,0.00976961,-0.00638812
anger,-701.069458,-16.21637535,-17.02449608,-2.632292271,-10.41848373,-8.271056175,-15.95230389,-7.343408108,-16.56172562,0.734303951,-7.093980312,-8.057118416,-3.237301588,-2.62720418,-6.053499222,-1.988877654,-8.496868134,1.043720007,-8.126055717,-1.601665139,0.001636604,0.420040894,1.677099586,8224.337769,5084.782449,2645.291624,0.493173659,0.501233459,0.478547424,0.522796988,0.427414745,0.462145805,0.47429958,0.465189308,0.517107248,0.516818702,0.506751657,0.466816574,1219.615285,0.048148204,-0.0179784,-0.006684662,-0.0054445,-0.004098663,0.000170982,0.003452771,-0.000476422,-0.001355754,0.000369499,-0.001653912,0.002281292,0.001366859
anger,-534.7720947,-25.85391235,-25.94547272,-3.941330194,-12.28965092,-10.45052147,-11.49574375,-9.805725098,-18.63119316,2.07866621,-8.538937569,-5.583741665,-3.96541667,-4.285365582,-3.082668543,-4.258444309,-10.09684563,1.271205902,-12.24263287,0.192981109,0.012194166,0.423033,1.581786394,8107.368644,4982.129763,2596.058111,0.454685658,0.462576568,0.471664548,0.4267928,0.384985834,0.513435125,0.610924363,0.525899649,0.436948061,0.434939474,0.487285167,0.496313959,1100.35866,0.19226402,-0.089874789,-0.03921672,-0.00366087,-0.005277266,0.003119563,0.014118163,-0.009760185,0.003521871,-0.000853596,-0.007396422,0.011403474,0.004509072
anger,-519.0479126,-12.68903923,-25.92029572,-6.636047363,-10.32532787,-5.903336525,-9.727015495,-6.062618732,-10.11991692,-4.580967426,-6.209990501,-2.335058451,-4.825514317,-1.570429802,-8.080385208,0.873402297,-7.752607822,2.212136745,2.148962498,4.139318466,0.0152851,0.496735491,1.188043594,8096.407471,5139.30829,2603.192279,0.599258661,0.652761757,0.672589779,0.665612996,0.511869609,0.437216371,0.444910914,0.484864801,0.54066813,0.547000647,0.5495736,0.524928749,1307.404684,0.208544761,-0.088813893,-0.063976251,0.005707919,-0.000782899,0.007617492,0.003465206,-0.004055608,0.00329109,0.003920604,-0.003849199,0.00306949,0.00337798
anger,-649.4318237,0.707290769,-20.2999115,-3.747004986,-7.078308582,-7.781732082,-9.125166893,-5.160029888,-15.21347427,-4.743275642,-5.420690536,-4.846004486,-6.464392185,0.71650821,-8.824033737,0.976450682,-9.547237396,-1.706790924,-6.548386097,-2.322995424,0.00392854,0.381040346,1.302390337,8298.791077,5296.591914,2590.217961,0.61490953,0.649217784,0.693659902,0.606056809,0.459563583,0.411804169,0.445801526,0.490418226,0.506607533,0.520807445,0.527444959,0.586794317,1527.618049,0.088301428,-0.029533995,-0.022572622,-0.001114395,-0.006876892,-0.001341128,0.003964729,-0.003650841,0.002444834,0.000851958,-0.003928604,0.0035183,0.00479381
anger,-569.3242798,-4.950483799,-28.18174362,6.254057407,-3.797539949,-4.058916569,-4.0292449,-3.199521303,-14.1353054,3.340544462,-9.674214363,-3.470897436,0.828101575,-4.243887424,-5.108686447,-0.284012139,-7.225101471,0.143872142,-6.064048767,-0.024656132,0.008891796,0.399569278,1.313488126,7528.777874,4668.542487,2513.531565,0.514112532,0.453018337,0.444479018,0.481639951,0.413635939,0.39043045,0.406919241,0.479200512,0.619897008,0.619005024,0.599721849,0.629884183,1225.962081,0.146949947,-0.059785444,-0.02779704,0.012992873,-0.014456702,0.001653789,0.007595085,-0.011561599,0.009761967,0.002677528,-0.005325911,0.012478181,-0.007392525
anger,-418.802887,-38.23663712,-37.91287231,4.682419777,-23.59263992,-2.638298035,-13.45764256,-14.75555897,-9.931926727,-3.969760656,-11.75453568,0.744189322,-9.731612206,1.052106023,-10.31789589,4.748298168,-8.125117302,-1.22044754,-5.409797668,1.834677815,0.023459766,0.387469161,1.985292435,7789.579564,4831.365088,2519.904756,0.498820573,0.513328612,0.555524588,0.555495322,0.430752754,0.4107171,0.385314107,0.398265004,0.458381921,0.511118531,0.520001888,0.56816262,780.7992814,0.322250307,-0.162258312,-0.044811033,0.006945211,-0.038817879,0.04847908,-0.011634257,-0.012109647,0.021027008,-0.016075129,0.0182794,0.0052555,-0.0051902
